wb,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,basis
1,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,2.0,1.0,1.0,2.0,,1.0,,1
2,2.0,1.0,1.0,4.0,3.0,2.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3
6,,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,4.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,3
16,,,,,,,,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,2.0,3.0,1.0,,2.0,2.0,,,3
17,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,4.0,4.0,,4.0,2.0,,,4
18,,,3.0,1.0,1.0,3.0,3.0,1.0,4.0,3.0,3.0,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,3.0,,,3.0,4
24,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,1.0,,1.0,,0.0,2
25,,,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,2.0,,2.0,,1.0,2
28,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,3
29,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,,1.0,2
34,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,4.0,4.0,2.0,,1.0,4.0,4.0,,,2.0,3
35,,,1.0,1.0,,,,,,,,,,,,,,,,,0.0,,,,2.0,2.0,2.0,4.0,3.0,2.0,3.0,,4.0,,2.0,,2.0,3
36,,,,,,,,,,,,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,,3.0,,4.0,,,,2.0,3.0,2.0,,4.0,3.0,2.0,,2
37,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,3.0,3.0,4.0,3.0,2.0,,3.0,,3.0,,3.0,4
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
44,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
46,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,,2.0,1.0,,2.0,,2
47,,,2.0,2.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1
48,,,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,3.0,,2.0,3.0,3.0,3.0,3.0,2.0,3.0,,3.0,3.0,,2.0,,4
49,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,0.0,,1.0,1
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
59,0.0,,0.0,1.0,0.0,1.0,,,,,,2.0,0.0,0.0,,,,,,1.0,,,,,,1.0,,,,1.0,0.0,1.0,,1.0,1.0,,,1
62,,,,1.0,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,1.0,2.0,2.0,,2.0,2.0,,,1
68,0.0,,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,4.0,,,,,,3.0,3.0,3.0,4.0,3.0,3.0,3.0,,3.0,,3.0,,3.0,4
72,,,,,,1.0,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,2.0,3.0,2.0,,3.0,2.0,3.0,,2
74,,,1.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,,0.0,,,,,,,,1.0,,,,,,,1.0,,,1.0,1.0,1.0,,0.0,1.0,,1
80,,1.0,,,1.0,,,,,,,1.0,,,1.0,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,2
82,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,1.0,1.0,0.0,,0.0,,1.0,1
83,,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,,,,,,0.0,1.0,,,,0.0,0.0,1.0,2.0,0.0,0.0,,1.0,1.0,1.0,,,0.0,1
84,1.0,,,,2.0,0.0,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,2.0,,1.0,,1.0,,1.0,2.0,1.0,,,1.0,1
85,2.0,,1.0,2.0,2.0,0.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,,1.0,0.0,,,,,1.0,,2.0,,1.0,,2.0,1.0,,1.0,,,2.0,2
86,0.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,1
87,1.0,,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,0.0,1
89,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,,1
90,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,,2.0,,2.0,2
92,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2
93,1.0,1.0,2.0,4.0,1.0,,3.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,2.0,,4.0,2.0,,,3
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
101,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,0.0,0.0,1.0,,0.0,0.0,,,1
102,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,0.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,1
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,0.0,1.0,0.0,,0.0,,1.0,,1
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
105,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,1.0,1.0,2.0,2.0,1.0,1.0,,,1.0,1.0,1.0,,,2
106,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0
107,,,,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,,,,,,,,,,,2.0,2.0,1.0,2.0,,2.0,,1
108,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.0,1.0,1.0,,,1.0,,0.0,1
109,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,4.0,3.0,2.0,4.0,1.0,,,2.0,1.0,1.0,,1.0,2
110,,,,,,,,,,,,,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,1.0,,1
111,,,,,,,,1.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,1
113,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0
114,0.0,,,,,,,,,,,,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
119,,,,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1
120,,,,2.0,,1.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,,2.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,,3.0,,2.0,,,1
121,,,,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,,,3.0,2.0,3.0,,,1
122,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1
123,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,,1.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2
124,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,2.0,1.0,1.0,0.0,,,1.0,1.0,1.0,,,1
125,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,1.0,0
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
128,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1
129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,,,,,,,,,1.0,0.0,0.0,,0.0,,0.0,0
130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0
131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0
132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,0.0,1.0,3.0,3.0,2.0,1
133,,,4.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,0.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,2.0,4.0,3.0,2
136,,,,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,,4.0,4.0,2.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,3
137,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,,,4.0,,,,,,,2.0,3.0,4.0,,,3.0,,4.0,3
138,,,2.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,,2.0,,,,,,,,,,,,,,2.0,2
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
140,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2
141,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,4.0,,2.0,2.0,,3
142,,,,,,,,,,2.0,,,,,,,,,,,,,,,,3.0,,,,1.0,3.0,3.0,,2.0,2.0,,2.0,3
144,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,0.0,1.0,1.0,,,1.0,1.0,,2
145,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,1.0,2.0,2
146,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,1.0,3.0,3.0,,,2.0,1.0,,2
147,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,,0.0,1.0,0
159,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
160,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,,,0.0,,1.0,2
165,,,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,2.0,1.0,,,1.0,1.0,,2
200,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.0,,1.0,,,,,1.0,3.0,1.0,1.0,3.0,1.0,,,1.0,1.0,1.0,,1.0,3
201,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,2
204,,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,4.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,2
206,,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,1.0,2.0,,1.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2
207,,,3.0,,2.0,3.0,3.0,2.0,3.0,3.0,3.0,,,,,,,,,,,3.0,,,,,,,,3.0,3.0,3.0,,3.0,3.0,2.0,,4
208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
209,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,,2.0,1.0,0.0,3.0,3.0,1.0,,0.0,3.0,2.0,2.0,3.0,,1
212,,,,,,0.0,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1
214,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1
216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
217,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,1
219,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1
221,,,,,,,,,,,,,,,,4.0,2.0,4.0,4.0,4.0,4.0,,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3
222,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,2.0,4.0,4.0,2.0,2.0,1.0,,,2.0,1.0,2.0,,,4
224,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,1.0,1
232,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
233,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,2
234,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
235,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,,1.0,1.0,0.0,,1.0,1.0,1
236,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
238,,,,,,,,,,,,,,,,,,,,,0.0,,,,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0
