,n,No dummies,Small,Medium,Large,Soft bottom,Natural,DK2,"Soft bottom, Small","Soft bottom, Medium","Soft bottom, Large","Soft bottom, Natural","Soft bottom, DK2","Soft bottom, Natural, Small","Soft bottom, Natural, Medium","Soft bottom, Natural, Large","Soft bottom, Natural, DK2","Soft bottom, Natural, Large, Small","Soft bottom, Natural, Large, Medium","Soft bottom, Natural, Large, DK2"
1989,6.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1990,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,8.0,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
1992,14.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
1993,14.0,0.35714285714285715,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.35714285714285715,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.2857142857142857,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715
1994,12.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667
1995,10.0,0.5,0.5,0.5,0.5,0.4,0.6,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.5,0.6
1996,17.0,0.35294117647058826,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.35294117647058826,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.35294117647058826,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.35294117647058826,0.35294117647058826,0.35294117647058826
1997,26.0,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.3076923076923077,0.2692307692307692,0.2692307692307692,0.2692307692307692
1998,16.0,0.4375,0.4375,0.5,0.4375,0.5,0.4375,0.4375,0.5,0.5,0.4375,0.4375,0.4375,0.5,0.5,0.4375,0.4375,0.4375,0.5,0.4375
1999,9.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
2000,38.0,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.47368421052631576,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316,0.4473684210526316
2001,135.0,0.5851851851851851,0.5925925925925926,0.5851851851851851,0.5925925925925926,0.5925925925925926,0.5703703703703704,0.5925925925925926,0.5925925925925926,0.5851851851851851,0.5925925925925926,0.5555555555555556,0.5925925925925926,0.5481481481481482,0.5407407407407407,0.562962962962963,0.562962962962963,0.5481481481481482,0.5703703703703704,0.5777777777777777
2002,153.0,0.5228758169934641,0.5555555555555556,0.5620915032679739,0.5228758169934641,0.5228758169934641,0.5686274509803921,0.5555555555555556,0.5620915032679739,0.5620915032679739,0.5228758169934641,0.5686274509803921,0.5555555555555556,0.5555555555555556,0.5620915032679739,0.5686274509803921,0.5620915032679739,0.5620915032679739,0.5620915032679739,0.5555555555555556
2003,114.0,0.5701754385964912,0.5614035087719298,0.5701754385964912,0.5614035087719298,0.5789473684210527,0.6140350877192983,0.5614035087719298,0.5789473684210527,0.5701754385964912,0.5614035087719298,0.6052631578947368,0.5614035087719298,0.6052631578947368,0.6052631578947368,0.6140350877192983,0.5964912280701754,0.5964912280701754,0.6140350877192983,0.5877192982456141
2004,34.0,0.47058823529411764,0.47058823529411764,0.5,0.47058823529411764,0.4411764705882353,0.4411764705882353,0.5,0.4411764705882353,0.47058823529411764,0.47058823529411764,0.4411764705882353,0.5,0.4117647058823529,0.4411764705882353,0.4411764705882353,0.4117647058823529,0.4117647058823529,0.4411764705882353,0.4411764705882353
2005,30.0,0.5333333333333333,0.5,0.5,0.5,0.5,0.5,0.5333333333333333,0.5,0.5,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5,0.5333333333333333
2006,77.0,0.6493506493506493,0.6493506493506493,0.6493506493506493,0.6363636363636364,0.6493506493506493,0.6623376623376623,0.6623376623376623,0.6493506493506493,0.6493506493506493,0.6363636363636364,0.6623376623376623,0.6623376623376623,0.6623376623376623,0.6623376623376623,0.6493506493506493,0.6883116883116883,0.6623376623376623,0.6623376623376623,0.6753246753246753
2007,228.0,0.631578947368421,0.6403508771929824,0.6359649122807017,0.631578947368421,0.631578947368421,0.6359649122807017,0.6359649122807017,0.631578947368421,0.6403508771929824,0.6359649122807017,0.6403508771929824,0.6359649122807017,0.6447368421052632,0.6447368421052632,0.6359649122807017,0.6447368421052632,0.631578947368421,0.6447368421052632,0.6447368421052632
2008,84.0,0.6904761904761905,0.7023809523809523,0.6785714285714286,0.6785714285714286,0.7023809523809523,0.7261904761904762,0.6666666666666666,0.7023809523809523,0.7023809523809523,0.6904761904761905,0.7261904761904762,0.6428571428571429,0.7380952380952381,0.7380952380952381,0.7261904761904762,0.7142857142857143,0.7380952380952381,0.7380952380952381,0.7023809523809523
2009,124.0,0.6532258064516129,0.6451612903225806,0.6532258064516129,0.6451612903225806,0.6532258064516129,0.6532258064516129,0.6532258064516129,0.6532258064516129,0.6532258064516129,0.6532258064516129,0.6532258064516129,0.6532258064516129,0.6532258064516129,0.6532258064516129,0.6532258064516129,0.6532258064516129,0.6532258064516129,0.6532258064516129,0.6532258064516129
2010,259.0,0.7104247104247104,0.7181467181467182,0.7142857142857143,0.7065637065637066,0.722007722007722,0.722007722007722,0.7104247104247104,0.7258687258687259,0.7297297297297297,0.722007722007722,0.7335907335907336,0.7258687258687259,0.7258687258687259,0.7258687258687259,0.7335907335907336,0.7297297297297297,0.7258687258687259,0.7258687258687259,0.7297297297297297
2011,231.0,0.6623376623376623,0.670995670995671,0.6623376623376623,0.6623376623376623,0.6623376623376623,0.6536796536796536,0.658008658008658,0.6666666666666666,0.670995670995671,0.6623376623376623,0.6536796536796536,0.6623376623376623,0.6623376623376623,0.6536796536796536,0.658008658008658,0.6493506493506493,0.6623376623376623,0.6536796536796536,0.6536796536796536
2012,231.0,0.7272727272727273,0.7316017316017316,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7489177489177489,0.7316017316017316,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7489177489177489,0.7186147186147186,0.7489177489177489,0.7489177489177489,0.7489177489177489,0.7489177489177489,0.7489177489177489,0.7489177489177489,0.7489177489177489
2013,261.0,0.8390804597701149,0.8352490421455939,0.8390804597701149,0.8275862068965517,0.8314176245210728,0.8352490421455939,0.8390804597701149,0.8352490421455939,0.8314176245210728,0.8314176245210728,0.8352490421455939,0.8314176245210728,0.8352490421455939,0.8352490421455939,0.8314176245210728,0.8390804597701149,0.8352490421455939,0.8352490421455939,0.8314176245210728
2014,551.0,0.9019963702359347,0.9019963702359347,0.9019963702359347,0.9019963702359347,0.925589836660617,0.8947368421052632,0.9092558983666061,0.925589836660617,0.925589836660617,0.925589836660617,0.9219600725952813,0.925589836660617,0.9201451905626135,0.9201451905626135,0.9201451905626135,0.9219600725952813,0.9201451905626135,0.9201451905626135,0.9219600725952813
2015,186.0,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9086021505376344,0.9354838709677419,0.9032258064516129,0.9193548387096774,0.9354838709677419,0.9408602150537635,0.9354838709677419,0.9408602150537635,0.9354838709677419,0.9408602150537635,0.9408602150537635,0.9408602150537635,0.9301075268817204,0.9408602150537635,0.9408602150537635,0.9354838709677419
2016,227.0,0.973568281938326,0.973568281938326,0.973568281938326,0.973568281938326,0.973568281938326,0.973568281938326,0.973568281938326,0.973568281938326,0.973568281938326,0.973568281938326,0.973568281938326,0.973568281938326,0.973568281938326,0.973568281938326,0.973568281938326,0.973568281938326,0.973568281938326,0.973568281938326,0.973568281938326
2017,581.0,0.9001721170395869,0.9018932874354562,0.9001721170395869,0.9018932874354562,0.9070567986230637,0.9018932874354562,0.9070567986230637,0.9087779690189329,0.9070567986230637,0.9070567986230637,0.9070567986230637,0.9070567986230637,0.9053356282271945,0.9070567986230637,0.9070567986230637,0.9087779690189329,0.9036144578313253,0.9036144578313253,0.9087779690189329
2018,542.0,0.9114391143911439,0.9132841328413284,0.9095940959409594,0.9095940959409594,0.9298892988929889,0.9095940959409594,0.9132841328413284,0.9298892988929889,0.9298892988929889,0.9298892988929889,0.9280442804428044,0.9280442804428044,0.9280442804428044,0.9298892988929889,0.9317343173431735,0.9280442804428044,0.9317343173431735,0.9317343173431735,0.9317343173431735
2019,250.0,0.696,0.688,0.688,0.692,0.7,0.696,0.708,0.704,0.704,0.7,0.704,0.708,0.708,0.712,0.704,0.72,0.712,0.712,0.72
2020,393.0,0.7811704834605598,0.7811704834605598,0.7786259541984732,0.7811704834605598,0.7837150127226463,0.7862595419847328,0.7735368956743003,0.7811704834605598,0.7786259541984732,0.7837150127226463,0.7888040712468194,0.7760814249363868,0.7888040712468194,0.7888040712468194,0.7888040712468194,0.7862595419847328,0.7862595419847328,0.7862595419847328,0.7837150127226463
Total,4865.0,0.7736896197327852,0.7757451181911613,0.7745118191161356,0.7722507708119218,0.781294964028777,0.7773895169578623,0.7773895169578623,0.7833504624871531,0.7835560123329908,0.7808838643371018,0.7854059609455293,0.781294964028777,0.7847893114080164,0.7854059609455293,0.7858170606372045,0.7858170606372045,0.7843782117163413,0.7856115107913669,0.7856115107913669
